date,region,product_category,sales_rep,revenue,units_sold,channel
2024-03-29,South,Training,Sinead Ryan,6643.85,18,Online
2024-03-30,South,Support,Niamh Walsh,10660.82,21,Online
2024-03-30,East,Consulting,Aoife Murphy,3223.9,13,Partner
2024-04-02,West,Hardware,Declan Hayes,11141.53,23,In-Store
2024-04-03,South,Consulting,Niamh Walsh,5452.16,20,Partner
2024-04-03,Midlands,Consulting,Conor Brien,10069.45,33,Online
2024-04-04,West,Support,Sean Kelly,3812.57,34,Online
2024-04-08,West,Training,Aoife Murphy,2159.27,21,Online
2024-04-11,Midlands,Support,Aoife Murphy,2246.36,11,In-Store
2024-04-11,West,Software,Aoife Murphy,3393.92,39,In-Store
2024-04-11,Midlands,Consulting,Padraig O'Sullivan,11431.55,31,Online
2024-04-12,West,Consulting,Niamh Walsh,3645.49,6,Partner
2024-04-16,South,Training,Declan Hayes,4260.9,25,Online
2024-04-17,East,Consulting,Conor Brien,6479.91,7,Partner
2024-04-18,South,Consulting,Niamh Walsh,1852.31,1,Partner
2024-04-19,Midlands,Software,Niamh Walsh,3760.66,23,In-Store
2024-04-19,West,Training,Declan Hayes,5462.91,13,In-Store
2024-04-21,South,Software,Aoife Murphy,10099.98,19,In-Store
2024-04-24,South,Support,Niamh Walsh,8776.99,15,Online
2024-04-30,Midlands,Support,Sean Kelly,10604.85,11,Online
2024-05-05,North,Hardware,Sinead Ryan,5241.98,1,Partner
2024-05-07,Midlands,Support,Niamh Walsh,8065.46,21,Online
2024-05-08,West,Training,Sean Kelly,6279.88,27,Partner
2024-05-10,South,Training,Claire Fitzpatrick,836.06,3,Online
2024-05-12,South,Consulting,Conor Brien,3581.88,28,Online
2024-05-17,East,Software,Sinead Ryan,8927.74,8,Online
2024-05-18,Midlands,Consulting,Declan Hayes,7067.84,30,Online
2024-05-18,East,Software,Conor Brien,4112.33,24,In-Store
2024-05-19,West,Software,Sean Kelly,2702.99,16,Online
2024-05-21,East,Software,Conor Brien,2744.77,23,Partner
2024-05-21,West,Hardware,Niamh Walsh,10732.04,9,Partner
2024-05-24,East,Consulting,Niamh Walsh,8376.74,22,Partner
2024-05-24,West,Hardware,Padraig O'Sullivan,1385.21,39,Partner
2024-05-27,West,Support,Conor Brien,6670.14,4,Online
2024-05-27,North,Training,Sinead Ryan,3565.78,34,Online
2024-05-29,East,Hardware,Padraig O'Sullivan,11498.81,7,Partner
2024-05-29,West,Hardware,Padraig O'Sullivan,5635.52,38,Partner
2024-05-31,East,Software,Declan Hayes,9778.14,3,In-Store
2024-06-01,West,Consulting,Aoife Murphy,8065.68,17,In-Store
2024-06-03,South,Training,Aoife Murphy,5881.83,5,Online
2024-06-04,East,Hardware,Sinead Ryan,2184.78,39,Partner
2024-06-06,North,Training,Aoife Murphy,5467.86,24,Online
2024-06-06,Midlands,Training,Conor Brien,5753.37,29,Online
2024-06-11,West,Support,Padraig O'Sullivan,11959.4,15,Online
2024-06-16,Midlands,Hardware,Aoife Murphy,5268.15,38,Partner
2024-06-17,West,Software,Padraig O'Sullivan,9017.75,37,Partner
2024-06-20,West,Hardware,Sean Kelly,1131.52,3,Partner
2024-06-21,West,Support,Claire Fitzpatrick,6784.92,12,In-Store
2024-06-22,East,Consulting,Sinead Ryan,2673.95,15,In-Store
2024-06-23,North,Hardware,Aoife Murphy,1432.83,31,Partner
2024-06-23,East,Hardware,Claire Fitzpatrick,6373.46,12,In-Store
2024-06-24,Midlands,Consulting,Sean Kelly,808.32,8,Partner
2024-06-25,North,Support,Conor Brien,8093.77,32,In-Store
2024-06-27,Midlands,Support,Niamh Walsh,4972.77,16,In-Store
2024-06-29,South,Software,Sinead Ryan,1904.36,1,Partner
2024-06-30,West,Software,Niamh Walsh,10476.01,39,Partner
2024-06-30,South,Training,Niamh Walsh,9459.56,22,In-Store
2024-06-30,South,Training,Padraig O'Sullivan,8236.7,3,In-Store
2024-06-30,Midlands,Hardware,Padraig O'Sullivan,6798.75,3,Partner
2024-07-06,East,Consulting,Conor Brien,994.78,29,In-Store
2024-07-07,West,Consulting,Conor Brien,2191.32,19,Partner
2024-07-09,East,Hardware,Declan Hayes,7514.7,28,In-Store
2024-07-11,East,Training,Conor Brien,2488.37,2,Partner
2024-07-13,South,Consulting,Declan Hayes,6463.24,12,In-Store
2024-07-14,West,Consulting,Aoife Murphy,2987.65,8,Partner
2024-07-15,East,Support,Sean Kelly,5516.42,17,In-Store
2024-07-15,East,Software,Declan Hayes,9251.64,27,Online
2024-07-18,West,Consulting,Sinead Ryan,801.24,12,In-Store
2024-07-23,South,Consulting,Declan Hayes,2238.85,9,In-Store
2024-07-24,South,Consulting,Padraig O'Sullivan,867.73,36,Online
2024-07-25,West,Hardware,Niamh Walsh,3582.43,6,Online
2024-07-27,West,Support,Sinead Ryan,8576.89,23,In-Store
2024-08-04,Midlands,Consulting,Padraig O'Sullivan,8685.24,6,Online
2024-08-05,East,Software,Niamh Walsh,4820.16,38,In-Store
2024-08-08,East,Support,Niamh Walsh,5044.34,39,In-Store
2024-08-10,South,Support,Sean Kelly,6421.98,15,In-Store
2024-08-11,North,Consulting,Conor Brien,8226.06,12,Online
2024-08-14,Midlands,Hardware,Niamh Walsh,2029.68,11,Online
2024-08-14,Midlands,Support,Declan Hayes,2900.52,5,Online
2024-08-15,East,Consulting,Padraig O'Sullivan,1310.73,26,Partner
2024-08-15,West,Hardware,Declan Hayes,6609.25,39,Partner
2024-08-16,West,Support,Niamh Walsh,3601.88,18,In-Store
2024-08-16,South,Consulting,Aoife Murphy,3248.87,22,Partner
2024-08-22,West,Software,Conor Brien,1300.28,15,Partner
2024-08-25,Midlands,Support,Niamh Walsh,7215.33,31,In-Store
2024-08-25,West,Consulting,Declan Hayes,4367.39,12,Partner
2024-08-27,Midlands,Training,Sinead Ryan,9079.42,7,Online
2024-08-27,South,Software,Aoife Murphy,1150.67,13,Online
2024-08-27,North,Consulting,Claire Fitzpatrick,3167.34,3,Partner
2024-08-28,South,Software,Niamh Walsh,8090.38,38,In-Store
2024-08-30,West,Software,Claire Fitzpatrick,1763.41,20,Partner
2024-09-02,Midlands,Training,Padraig O'Sullivan,4698.8,3,Online
2024-09-04,South,Training,Sinead Ryan,3625.57,17,In-Store
2024-09-04,North,Support,Conor Brien,4668.99,1,Online
2024-09-04,Midlands,Hardware,Declan Hayes,8057.89,30,In-Store
2024-09-06,South,Hardware,Sean Kelly,5273.27,33,Online
2024-09-11,Midlands,Software,Conor Brien,11068.31,7,In-Store
2024-09-12,South,Consulting,Sean Kelly,2882.66,5,In-Store
2024-09-13,East,Software,Aoife Murphy,3222.81,26,In-Store
2024-09-14,West,Support,Sean Kelly,7388.15,22,Online
2024-09-17,South,Training,Sean Kelly,5261.81,14,In-Store
2024-09-18,West,Hardware,Sinead Ryan,10336.26,27,Partner
2024-09-18,South,Training,Sinead Ryan,10183.74,4,Online
2024-09-22,Midlands,Consulting,Aoife Murphy,7585.99,23,Online
2024-09-24,North,Training,Sinead Ryan,9499.24,8,Online
2024-10-01,Midlands,Software,Padraig O'Sullivan,11786.53,2,Online
2024-10-01,North,Training,Declan Hayes,7612.56,40,Partner
2024-10-02,South,Software,Aoife Murphy,2770.55,15,Online
2024-10-02,East,Support,Conor Brien,7608.37,7,Partner
2024-10-05,West,Consulting,Claire Fitzpatrick,1976.99,14,In-Store
2024-10-07,West,Training,Aoife Murphy,2214.92,13,Online
2024-10-08,East,Software,Padraig O'Sullivan,3025.03,11,In-Store
2024-10-09,South,Consulting,Sinead Ryan,9117.63,6,In-Store
2024-10-11,West,Hardware,Aoife Murphy,8919.08,26,In-Store
2024-10-11,West,Hardware,Aoife Murphy,6810.98,13,In-Store
2024-10-12,Midlands,Training,Sinead Ryan,9274.63,26,Online
2024-10-13,East,Consulting,Padraig O'Sullivan,3860.64,16,Online
2024-10-14,North,Hardware,Claire Fitzpatrick,10274.63,39,Partner
2024-10-16,North,Hardware,Niamh Walsh,7847.72,4,Online
2024-10-18,West,Consulting,Declan Hayes,3983.43,23,Online
2024-10-18,West,Consulting,Sean Kelly,10769.48,22,Online
2024-10-20,West,Hardware,Sean Kelly,7647.52,12,In-Store
2024-10-24,North,Software,Claire Fitzpatrick,5568.49,7,Online
2024-10-26,Midlands,Support,Aoife Murphy,1738.95,38,Partner
2024-10-27,Midlands,Consulting,Conor Brien,4426.93,2,In-Store
2024-11-01,East,Training,Declan Hayes,5996.65,7,Partner
2024-11-05,West,Support,Niamh Walsh,4692.57,12,Partner
2024-11-05,East,Hardware,Declan Hayes,9124.9,10,Online
2024-11-09,Midlands,Hardware,Padraig O'Sullivan,10448.71,14,In-Store
2024-11-12,North,Support,Padraig O'Sullivan,6662.1,13,Online
2024-11-12,West,Hardware,Claire Fitzpatrick,10739.79,23,In-Store
2024-11-14,South,Support,Padraig O'Sullivan,10233.38,31,Partner
2024-11-15,West,Hardware,Aoife Murphy,10026.23,38,Online
2024-11-16,West,Hardware,Sinead Ryan,9075.12,10,Online
2024-11-20,South,Support,Sinead Ryan,2931.64,33,Online
2024-11-25,North,Hardware,Conor Brien,3985.73,37,Partner
2024-11-30,East,Software,Padraig O'Sullivan,9356.72,16,Online
2024-11-30,Midlands,Software,Sean Kelly,2207.84,9,Partner
2024-11-30,Midlands,Support,Claire Fitzpatrick,3902.52,11,In-Store
2024-11-30,East,Support,Declan Hayes,6058.7,17,Online
2024-12-02,West,Hardware,Claire Fitzpatrick,8153.43,1,In-Store
2024-12-02,West,Software,Padraig O'Sullivan,5545.99,25,In-Store
2024-12-06,South,Software,Conor Brien,6659.56,8,In-Store
2024-12-06,East,Training,Sean Kelly,8284.43,5,Online
2024-12-08,West,Consulting,Aoife Murphy,3111.36,6,Online
2024-12-10,Midlands,Training,Sean Kelly,3493.66,15,Online
2024-12-12,North,Support,Padraig O'Sullivan,1277.7,36,In-Store
2024-12-14,Midlands,Consulting,Aoife Murphy,4373.76,17,Partner
2024-12-17,West,Support,Sean Kelly,3605.57,37,Online
2024-12-22,West,Hardware,Conor Brien,6228.21,18,Online
2024-12-23,South,Software,Padraig O'Sullivan,10022.65,35,Partner
2024-12-25,East,Training,Conor Brien,9882.82,34,Online
